ts,pts_J1,pts_J2,pts_J3,pts_J4,pts_J5,pts_J6,vel_J1,vel_J2,vel_J3,vel_J4,vel_J5,vel_J6,acc_J1,acc_J2,acc_J3,acc_J4,acc_J5,acc_J6,jerk_J1,jerk_J2,jerk_J3,jerk_J4,jerk_J5,jerk_J6,do_port,do_state
2.000052644,0.071356525,0.068985814,-0.39359489,0.401995611,-0.190315965,-0.558282645,-0.171665195,-0.185849975,0.106442237,-1.02568065,1.354640566,1.40926605,0.217738029,0.304683131,-0.141705489,1.488385454,-1.916168986,-2.007917803,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
2.100055276,0.055271771,0.051889838,-0.383652288,0.306754987,-0.064300887,-0.427252797,-0.150086728,-0.156400394,0.092471194,-0.880203449,1.166882667,1.212658402,0.213819947,0.284292982,-0.137708031,1.421081974,-1.838890165,-1.924131667,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
2.200057909,0.041325329,0.037636941,-0.375086839,0.225725931,0.043324321,-0.315465279,-0.12890008,-0.128989882,0.078899906,-0.741456774,0.986852853,1.024429588,0.209901864,0.263902833,-0.133710572,1.353778494,-1.761611344,-1.840345531,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
2.300060541,0.029478015,0.026023211,-0.367858566,0.158235372,0.133332488,-0.222082185,-0.10810525,-0.103618439,0.065728375,-0.609440624,0.814551124,0.844579607,0.205983782,0.243512683,-0.129713114,1.286475013,-1.684332522,-1.756559395,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
2.400063173,0.019690648,0.016844737,-0.361927492,0.103610241,0.206496443,-0.146265609,-0.087702239,-0.080286064,0.052956601,-0.484154999,0.649977481,0.673108461,0.2020657,0.223122534,-0.125715655,1.219171533,-1.607053701,-1.67277326,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
2.500065805,0.011924045,0.009897605,-0.357253641,0.061177467,0.263589016,-0.087177647,-0.067691046,-0.058992757,0.040584582,-0.365599899,0.493131924,0.510016149,0.198147618,0.202732385,-0.121718197,1.151868052,-1.52977488,-1.588987124,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
2.600068437,0.006139022,0.004977904,-0.353797036,0.03026398,0.305383034,-0.043980393,-0.048071672,-0.039738519,0.028612321,-0.253775324,0.344014452,0.355302671,0.194229536,0.182342236,-0.117720739,1.084564572,-1.452496059,-1.505200988,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
2.70007107,0.002296396,0.001881721,-0.351517701,0.010196709,0.332651327,-0.015835941,-0.028844117,-0.02252335,0.017039815,-0.148681275,0.202625065,0.208968028,0.190311453,0.161952086,-0.11372328,1.017261092,-1.375217237,-1.421414852,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
2.800073702,0.000356986,0.000405145,-0.350375658,0.000302585,0.346166723,-0.001906385,-0.01000838,-0.00734725,0.005867066,-0.050317751,0.068963764,0.071012218,0.186393371,0.141561937,-0.109725822,0.949957611,-1.297938416,-1.337628716,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
2.854075123,8.73e-05,0.00020944,-0.350217768,-0.001047198,0.348018653,-5.55e-17,0.0,2.78e-17,0.0,1.11e-16,-1.11e-16,-1.11e-16,0.184277607,0.130551256,-0.107567194,0.913613732,-1.256207853,-1.292384203,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
